zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,total_price,price_log
90006,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,200.0,5.298317366548036
90024,Condominium,Entire home/apt,8,1.0,2.0,3.0,Real Bed,277.0,5.6240175061873385
90016,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,129.0,4.859812404361672
90015,Loft,Entire home/apt,4,1.0,0.0,2.0,Real Bed,370.0,5.913503005638269
90019,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,150.0,5.010635294096256
90006,House,Private room,4,2.0,1.0,0.0,Real Bed,69.0,4.23410650459726
90015,Loft,Private room,1,1.0,1.0,1.0,Real Bed,100.0,4.605170185988092
90018,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,150.0,5.010635294096256
90064,House,Private room,1,1.0,1.0,1.0,Real Bed,60.0,4.0943445622220995
90019,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,35.0,3.555348061489413
90015,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,130.0,4.867534450455582
90016,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,142.0,4.955827057601262
90064,House,Entire home/apt,2,1.5,1.0,2.0,Real Bed,299.0,5.700443573390688
90015,Apartment,Entire home/apt,6,1.5,2.0,5.0,Real Bed,304.0,5.717027701406223
90019,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,205.0,5.3230099791384085
90266,House,Private room,2,1.0,1.0,1.0,Real Bed,150.0,5.010635294096256
90266,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,199.0,5.293304824724492
90018,House,Private room,1,1.0,1.0,1.0,Real Bed,135.0,4.90527477843843
90015,Bed and breakfast,Private room,4,1.0,1.0,2.0,Real Bed,105.0,4.653960350157523
90007,Hostel,Private room,3,1.0,1.0,1.0,Real Bed,80.0,4.382026634673881
90006,House,Private room,1,2.0,1.0,1.0,Real Bed,52.0,3.951243718581428
90015,Apartment,Entire home/apt,6,1.0,1.0,3.0,Real Bed,174.0,5.159055299214528
90008,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,184.0,5.214935757608987
90005,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,69.0,4.23410650459726
90006,House,Private room,1,2.0,1.0,1.0,Real Bed,55.0,4.007333185232471
90007,Camper/RV,Entire home/apt,2,0.0,0.0,1.0,Real Bed,56.0,4.02535169073515
90254,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,195.0,5.272999558563747
90266,Bungalow,Entire home/apt,3,1.0,2.0,2.0,Real Bed,1595.0,7.374629015218946
90266,House,Private room,2,2.0,1.0,1.0,Real Bed,124.0,4.820281565605037
90014,Loft,Entire home/apt,4,1.0,2.0,2.0,Real Bed,410.0,6.016157159698354
90302,House,Entire home/apt,6,1.5,2.0,3.0,Real Bed,243.0,5.493061443340548
90293,Boutique hotel,Private room,2,1.0,1.0,1.0,Real Bed,219.0,5.389071729816501
90266,Guest suite,Entire home/apt,2,1.0,0.0,1.0,Real Bed,250.0,5.521460917862246
90013,Loft,Entire home/apt,2,1.0,1.0,1.0,Real Bed,275.0,5.616771097666573
90007,House,Private room,2,1.0,1.0,1.0,Real Bed,79.0,4.3694478524670215
90266,House,Private room,2,1.5,1.0,1.0,Real Bed,108.0,4.68213122712422
90266,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,160.0,5.0751738152338275
90014,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,175.0,5.1647859739235145
90293,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,115.0,4.74493212836325
90014,Loft,Entire home/apt,4,1.0,1.0,2.0,Real Bed,184.0,5.214935757608987
90045,House,Private room,2,1.5,1.0,1.0,Real Bed,130.0,4.867534450455582
91748,Condominium,Entire home/apt,6,2.0,2.0,3.0,Real Bed,195.0,5.272999558563747
90302,Apartment,Entire home/apt,5,1.5,2.0,2.0,Real Bed,225.0,5.416100402204419
90302,Hostel,Private room,1,2.0,1.0,1.0,Real Bed,49.0,3.8918202981106265
90043,House,Private room,5,2.0,1.0,3.0,Real Bed,69.0,4.23410650459726
90260,Guesthouse,Entire home/apt,5,1.0,0.0,3.0,Real Bed,180.0,5.1929568508902095
